time,latitude,longitude,mean_analysed_sst
2016-01-01,-58.98,-137.98,3.35
2016-01-01,-58.98,-136.98,3.44
2016-01-01,-58.98,-135.98,3.67
2016-01-01,-58.98,-134.98,3.92
2016-01-01,-58.98,-133.98,4.24
2016-01-01,-58.98,-132.98,4.49
2016-01-01,-58.98,-131.98,4.54
2016-01-01,-58.98,-130.98,4.64
2016-01-01,-58.98,-129.98,4.65
2016-01-01,-58.98,-128.98,4.44
2016-01-01,-58.98,-127.98,4.64
2016-01-01,-58.98,-126.98,5.51
2016-01-01,-58.98,-125.98,5.77
2016-01-01,-58.98,-124.98,5.66
2016-01-01,-58.98,-123.98,5.81
2016-01-01,-58.98,-122.98,5.39
2016-01-01,-58.98,-121.98,5.23
2016-01-01,-58.98,-120.98,5.25
2016-01-01,-58.98,-119.98,5.41
2016-01-01,-58.98,-118.98,5.43
2016-01-01,-58.98,-117.98,5.18
2016-01-01,-58.98,-116.98,5.19
2016-01-01,-58.98,-115.98,5.45
2016-01-01,-58.98,-114.98,5.86
2016-01-01,-58.98,-113.98,5.53
2016-01-01,-58.98,-112.98,5.12
2016-01-01,-58.98,-111.98,5.1
2016-01-01,-58.98,-110.98,5.16
2016-01-01,-58.98,-109.98,5.21
2016-01-01,-58.98,-108.98,5.21
2016-01-01,-58.98,-107.98,5.44
2016-01-01,-58.98,-106.98,5.91
2016-01-01,-58.98,-105.98,5.91
2016-01-01,-58.98,-104.98,5.57
2016-01-01,-58.98,-103.98,5.12
2016-01-01,-58.98,-102.98,5.35
2016-01-01,-58.98,-101.98,5.72
2016-01-01,-58.98,-100.98,5.24
2016-01-01,-58.98,-99.98,5.19
2016-01-01,-58.98,-98.98,5.21
2016-01-01,-58.98,-97.98,5.51
2016-01-01,-58.98,-96.98,5.47
2016-01-01,-58.98,-95.98,5.39
2016-01-01,-58.98,-94.98,4.89
2016-01-01,-58.98,-93.98,4.93
2016-01-01,-58.98,-92.98,4.82
2016-01-01,-58.98,-91.98,4.75
2016-01-01,-58.98,-90.98,4.55
2016-01-01,-58.98,-89.98,4.55
2016-01-01,-58.98,-88.98,5.26
2016-01-01,-58.98,-87.98,5.83
2016-01-01,-58.98,-86.98,5.72
2016-01-01,-58.98,-85.98,5.9
2016-01-01,-58.98,-84.98,6.03
2016-01-01,-58.98,-83.98,6.02
2016-01-01,-58.98,-82.98,5.44
2016-01-01,-58.98,-81.98,5.47
2016-01-01,-58.98,-80.97,5.62
2016-01-01,-58.98,-79.97,5.64
2016-01-01,-58.98,-78.97,5.37
2016-01-01,-58.98,-77.97,4.69
2016-01-01,-58.98,-76.97,4.08
2016-01-01,-58.98,-75.97,4.0
2016-01-01,-58.98,-74.97,4.62
2016-01-01,-58.98,-73.97,4.72
2016-01-01,-58.98,-72.97,4.49
2016-01-01,-58.98,-71.97,4.32
2016-01-01,-58.98,-70.97,4.86
2016-01-01,-58.98,-69.97,4.61
2016-01-01,-58.98,-68.97,3.6
2016-01-01,-58.98,-67.97,2.88
2016-01-01,-58.98,-66.97,1.98
2016-01-01,-58.98,-65.97,1.91
2016-01-01,-58.98,-64.97,2.43
2016-01-01,-58.98,-63.98,1.95
2016-01-01,-58.98,-62.98,1.49
2016-01-01,-58.98,-61.98,1.4
2016-01-01,-58.98,-60.98,1.62
2016-01-01,-58.98,-59.98,1.29
2016-01-01,-58.98,-58.98,1.62
2016-01-01,-58.98,-57.98,1.53
2016-01-01,-58.98,-56.98,1.39
2016-01-01,-58.98,-55.98,1.71
2016-01-01,-58.98,-54.98,1.91
2016-01-01,-58.98,-53.98,1.96
2016-01-01,-58.98,-52.98,1.51
2016-01-01,-58.98,-51.98,1.25
2016-01-01,-58.98,-50.98,1.13
2016-01-01,-58.98,-49.98,1.29
2016-01-01,-58.98,-48.98,1.4
2016-01-01,-58.98,-47.98,1.33
2016-01-01,-58.98,-46.98,1.42
2016-01-01,-58.98,-45.98,1.36
2016-01-01,-58.98,-44.98,1.47
2016-01-01,-58.98,-43.98,1.33
2016-01-01,-58.98,-42.98,0.9
2016-01-01,-58.98,-41.98,1.1
2016-01-01,-58.98,-40.98,1.1
2016-01-01,-58.98,-39.98,0.89
2016-01-01,-58.98,-38.98,0.94
2016-01-01,-58.98,-37.98,0.94
2016-01-01,-58.98,-36.98,0.99
2016-01-01,-58.98,-35.98,0.67
2016-01-01,-58.98,-34.98,0.9
2016-01-01,-58.98,-33.98,0.94
2016-01-01,-58.98,-32.98,0.98
2016-01-01,-58.98,-31.98,1.13
2016-01-01,-58.98,-30.98,0.84
2016-01-01,-58.98,-29.98,0.52
2016-01-01,-58.98,-28.98,0.3
2016-01-01,-58.98,-27.98,-0.14
2016-01-01,-58.98,-26.98,-0.37
2016-01-01,-58.98,-25.98,-0.36
2016-01-01,-58.98,-24.98,-0.13
2016-01-01,-58.98,-23.98,0.64
2016-01-01,-58.98,-22.98,0.63
2016-01-01,-58.98,-21.98,0.12
2016-01-01,-58.98,-20.98,-0.02
2016-01-01,-58.98,-19.98,0.12
2016-01-01,-58.98,-18.98,-0.03
2016-01-01,-58.98,-17.98,-0.22
2016-01-01,-58.98,-16.98,-0.33
2016-01-01,-58.98,-15.98,-0.4
2016-01-01,-58.98,-14.98,-0.25
2016-01-01,-58.98,-13.98,-0.52
2016-01-01,-58.98,-12.98,-0.56
2016-01-01,-58.98,-11.98,-0.36
2016-01-01,-58.98,-10.98,-0.26
2016-01-01,-58.98,-9.98,-0.28
2016-01-01,-58.98,-8.98,-0.3
2016-01-01,-58.98,-7.98,-0.47
2016-01-01,-58.98,-6.98,-0.44
2016-01-01,-58.98,-5.98,-0.4
2016-01-01,-58.98,-4.97,-0.33
2016-01-01,-58.98,-3.98,-0.36
2016-01-01,-58.98,-2.98,-0.42
2016-01-01,-58.98,-1.98,-0.4
